,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_hidden_layer_sizes,param_max_iter,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,1118.6556443214417,317.94949732977574,0.5513046264648438,0.021440727822624066,tanh,100,700,adam,"{'activation': 'tanh', 'hidden_layer_sizes': 100, 'max_iter': 700, 'solver': 'adam'}",4.717193453841653,4.677334186844812,4.5679956374483295,4.794585026622602,4.776139383836391,4.706649537718758,0.08094066585651691,1
1,1588.8486232757568,332.605329193845,1.140206241607666,0.02675317711601371,tanh,200,700,adam,"{'activation': 'tanh', 'hidden_layer_sizes': 200, 'max_iter': 700, 'solver': 'adam'}",4.367253830242058,4.371112546203314,4.38205628341349,4.357807070770253,4.4108960455702535,4.377825155239874,0.01827086188982665,3
2,5581.901114463806,2212.7315739441674,9.210217237472534,12.22579163038456,tanh,500,700,adam,"{'activation': 'tanh', 'hidden_layer_sizes': 500, 'max_iter': 700, 'solver': 'adam'}",4.1608403803847285,4.173867402005232,4.099133044694433,4.127635915534417,4.262820311046172,4.164859410732997,0.055496267062394126,6
3,6290.481379127503,2769.373655519269,17.524236536026002,17.046010804755472,tanh,600,700,adam,"{'activation': 'tanh', 'hidden_layer_sizes': 600, 'max_iter': 700, 'solver': 'adam'}",4.141430685277631,4.305789714571351,4.112903055087793,4.128502412394245,4.196306518079665,4.176986477082137,0.07026399050133622,5
4,6634.703472709656,3007.4775494905384,3.4642340660095217,0.3813822310789443,tanh,"(200, 200)",700,adam,"{'activation': 'tanh', 'hidden_layer_sizes': (200, 200), 'max_iter': 700, 'solver': 'adam'}",3.988549612719141,4.068277380720695,3.9536834680033897,3.9758183366555566,4.09735235306972,4.0167362302337,0.05585670899953147,9
5,21664.207419586182,6360.565298270385,7.150003290176391,1.4284208180533633,tanh,"(400, 400)",700,adam,"{'activation': 'tanh', 'hidden_layer_sizes': (400, 400), 'max_iter': 700, 'solver': 'adam'}",3.9546137844647116,3.981074855460045,4.004570826590949,3.969710721284711,3.985647379724338,3.979123513504951,0.016632869771499595,10
6,3645.5747556209562,985.180179082479,1.260211706161499,0.2281136638635178,logistic,100,700,adam,"{'activation': 'logistic', 'hidden_layer_sizes': 100, 'max_iter': 700, 'solver': 'adam'}",4.4123358965001875,4.450714646525421,4.45540990638753,4.503544967395668,4.454367366661106,4.455274556693983,0.028966861005598275,2
7,5531.295079135894,840.2610693356268,2.0437489986419677,0.17269486131620104,logistic,200,700,adam,"{'activation': 'logistic', 'hidden_layer_sizes': 200, 'max_iter': 700, 'solver': 'adam'}",4.1899301303308345,4.206351814699812,4.179011872646534,4.2217822744348155,4.225235274839129,4.2044622733902255,0.01785483952128658,4
8,15642.859162807465,1677.3217487100792,5.1255292892456055,0.23645339802293516,logistic,500,700,adam,"{'activation': 'logistic', 'hidden_layer_sizes': 500, 'max_iter': 700, 'solver': 'adam'}",4.021317376445912,4.042466006432683,4.020613808294377,4.052682864164823,4.047792317846053,4.03697447463677,0.013466642355513023,7
9,17098.424282646178,2676.1889792136017,5.695120334625244,0.18085129598509225,logistic,600,700,adam,"{'activation': 'logistic', 'hidden_layer_sizes': 600, 'max_iter': 700, 'solver': 'adam'}",4.014896509367726,4.039456024776125,4.025215481987666,4.017113162235527,4.035683004987498,4.026472836670909,0.009763054583085599,8
10,19859.80699262619,1556.347966173122,4.309377813339234,0.43998467966919536,logistic,"(200, 200)",700,adam,"{'activation': 'logistic', 'hidden_layer_sizes': (200, 200), 'max_iter': 700, 'solver': 'adam'}",3.7877592695580167,3.7985755727744874,3.7913153378893845,3.7858741524076116,3.782685550207147,3.7892419765673298,0.005439526295419663,12
11,60291.52957959175,660.3708064610279,7.877672910690308,0.3439799872311254,logistic,"(400, 400)",700,adam,"{'activation': 'logistic', 'hidden_layer_sizes': (400, 400), 'max_iter': 700, 'solver': 'adam'}",3.859009474915674,3.894453856880918,3.8620963580429253,3.902609773773887,3.8830636644126284,3.8802466256052073,0.017264647729801862,11
